YEARMONTH,INCIDENTCLASSIFICATION,INCIDENTBOROUGH,INCIDENTCOUNT,AVERAGERESPONSETIME
FY 2017,All Fire/Emergency Incidents,New York City,585368,4:56
FY 2017,All Fire/Emergency Incidents,Manhattan,158449,5:16
FY 2017,All Fire/Emergency Incidents,Bronx,117546,5:14
FY 2017,All Fire/Emergency Incidents,Staten Island,28400,4:44
FY 2017,All Fire/Emergency Incidents,Brooklyn,165136,4:22
FY 2017,All Fire/Emergency Incidents,Queens,115837,5:05
FY 2017,False Alarm,New York City,20335,4:42
FY 2017,False Alarm,Manhattan,4101,5:06
FY 2017,False Alarm,Bronx,4519,4:54
FY 2017,False Alarm,Staten Island,1377,4:32
FY 2017,False Alarm,Brooklyn,5653,4:10
FY 2017,False Alarm,Queens,4685,4:50
FY 2017,Medical Emergencies,New York City,277912,4:35
FY 2017,Medical Emergencies,Manhattan,76014,4:57
FY 2017,Medical Emergencies,Bronx,53377,4:54
FY 2017,Medical Emergencies,Staten Island,13277,4:26
FY 2017,Medical Emergencies,Brooklyn,78718,4:04
FY 2017,Medical Emergencies,Queens,56526,4:43
FY 2017,Medical False Alarm,New York City,2805,4:45
FY 2017,Medical False Alarm,Manhattan,677,5:01
FY 2017,Medical False Alarm,Bronx,539,5:03
FY 2017,Medical False Alarm,Staten Island,97,4:48
FY 2017,Medical False Alarm,Brooklyn,872,4:18
FY 2017,Medical False Alarm,Queens,620,4:52
FY 2017,NonMedical Emergencies,New York City,242545,5:20
FY 2017,NonMedical Emergencies,Manhattan,67945,5:35
FY 2017,NonMedical Emergencies,Bronx,50890,5:36
FY 2017,NonMedical Emergencies,Staten Island,11632,5:04
FY 2017,NonMedical Emergencies,Brooklyn,67126,4:46
FY 2017,NonMedical Emergencies,Queens,44952,5:33
FY 2017,NonStructural Fires,New York City,15696,4:30
FY 2017,NonStructural Fires,Manhattan,4043,4:44
FY 2017,NonStructural Fires,Bronx,2392,4:49
FY 2017,NonStructural Fires,Staten Island,751,4:40
FY 2017,NonStructural Fires,Brooklyn,4818,3:57
FY 2017,NonStructural Fires,Queens,3692,4:44
FY 2017,Structural Fires,New York City,26075,4:13
FY 2017,Structural Fires,Manhattan,5669,4:26
FY 2017,Structural Fires,Bronx,5829,4:22
FY 2017,Structural Fires,Staten Island,1266,4:28
FY 2017,Structural Fires,Brooklyn,7949,3:42
FY 2017,Structural Fires,Queens,5362,4:34
FY 2016,All Fire/Emergency Incidents,New York City,579756,4:52
FY 2016,All Fire/Emergency Incidents,Manhattan,158794,5:12
FY 2016,All Fire/Emergency Incidents,Bronx,116210,5:05
FY 2016,All Fire/Emergency Incidents,Staten Island,28386,4:49
FY 2016,All Fire/Emergency Incidents,Brooklyn,163163,4:19
FY 2016,All Fire/Emergency Incidents,Queens,113203,5:02
FY 2016,False Alarm,New York City,21595,4:41
FY 2016,False Alarm,Manhattan,4249,5:05
FY 2016,False Alarm,Bronx,4807,4:46
FY 2016,False Alarm,Staten Island,1767,4:32
FY 2016,False Alarm,Brooklyn,6012,4:15
FY 2016,False Alarm,Queens,4760,4:49
FY 2016,Medical Emergencies,New York City,272312,4:32
FY 2016,Medical Emergencies,Manhattan,75373,4:52
FY 2016,Medical Emergencies,Bronx,52850,4:46
FY 2016,Medical Emergencies,Staten Island,12536,4:32
FY 2016,Medical Emergencies,Brooklyn,77304,4:03
FY 2016,Medical Emergencies,Queens,54249,4:37
FY 2016,Medical False Alarm,New York City,3259,4:40
FY 2016,Medical False Alarm,Manhattan,780,4:58
FY 2016,Medical False Alarm,Bronx,666,5:03
FY 2016,Medical False Alarm,Staten Island,101,4:27
FY 2016,Medical False Alarm,Brooklyn,1075,4:06
FY 2016,Medical False Alarm,Queens,637,4:53
FY 2016,NonMedical Emergencies,New York City,240624,5:16
FY 2016,NonMedical Emergencies,Manhattan,68439,5:31
FY 2016,NonMedical Emergencies,Bronx,49894,5:28
FY 2016,NonMedical Emergencies,Staten Island,11556,5:08
FY 2016,NonMedical Emergencies,Brooklyn,65718,4:41
FY 2016,NonMedical Emergencies,Queens,45017,5:30
FY 2016,NonStructural Fires,New York City,15044,4:31
FY 2016,NonStructural Fires,Manhattan,3825,4:50
FY 2016,NonStructural Fires,Bronx,2193,4:45
FY 2016,NonStructural Fires,Staten Island,956,4:51
FY 2016,NonStructural Fires,Brooklyn,4751,3:57
FY 2016,NonStructural Fires,Queens,3319,4:42
FY 2016,Structural Fires,New York City,26922,4:11
FY 2016,Structural Fires,Manhattan,6128,4:25
FY 2016,Structural Fires,Bronx,5800,4:15
FY 2016,Structural Fires,Staten Island,1470,4:31
FY 2016,Structural Fires,Brooklyn,8303,3:40
FY 2016,Structural Fires,Queens,5221,4:31
FY 2015,All Fire/Emergency Incidents,New York City,548949,4:50
FY 2015,All Fire/Emergency Incidents,Manhattan,150472,5:03
FY 2015,All Fire/Emergency Incidents,Bronx,108946,5:03
FY 2015,All Fire/Emergency Incidents,Staten Island,26938,4:54
FY 2015,All Fire/Emergency Incidents,Brooklyn,153876,4:19
FY 2015,All Fire/Emergency Incidents,Queens,108717,5:02
FY 2015,False Alarm,New York City,20044,4:42
FY 2015,False Alarm,Manhattan,4287,5:00
FY 2015,False Alarm,Bronx,4763,4:44
FY 2015,False Alarm,Staten Island,1552,4:41
FY 2015,False Alarm,Brooklyn,5119,4:17
FY 2015,False Alarm,Queens,4323,4:50
FY 2015,Medical Emergencies,New York City,247299,4:27
FY 2015,Medical Emergencies,Manhattan,67608,4:39
FY 2015,Medical Emergencies,Bronx,47932,4:39
FY 2015,Medical Emergencies,Staten Island,11656,4:36
FY 2015,Medical Emergencies,Brooklyn,70670,4:02
FY 2015,Medical Emergencies,Queens,49433,4:36
FY 2015,Medical False Alarm,New York City,3191,4:26
FY 2015,Medical False Alarm,Manhattan,804,4:36
FY 2015,Medical False Alarm,Bronx,580,4:45
FY 2015,Medical False Alarm,Staten Island,131,4:26
FY 2015,Medical False Alarm,Brooklyn,1011,3:59
FY 2015,Medical False Alarm,Queens,665,4:42
FY 2015,NonMedical Emergencies,New York City,234204,5:15
FY 2015,NonMedical Emergencies,Manhattan,67463,5:24
FY 2015,NonMedical Emergencies,Bronx,47271,5:30
FY 2015,NonMedical Emergencies,Staten Island,11397,5:14
FY 2015,NonMedical Emergencies,Brooklyn,63037,4:42
FY 2015,NonMedical Emergencies,Queens,45036,5:31
FY 2015,NonStructural Fires,New York City,17022,4:29
FY 2015,NonStructural Fires,Manhattan,4157,4:45
FY 2015,NonStructural Fires,Bronx,2425,4:38
FY 2015,NonStructural Fires,Staten Island,827,4:40
FY 2015,NonStructural Fires,Brooklyn,5698,3:59
FY 2015,NonStructural Fires,Queens,3915,4:45
FY 2015,Structural Fires,New York City,27189,4:11
FY 2015,Structural Fires,Manhattan,6153,4:20
FY 2015,Structural Fires,Bronx,5975,4:19
FY 2015,Structural Fires,Staten Island,1375,4:33
FY 2015,Structural Fires,Brooklyn,8341,3:42
FY 2015,Structural Fires,Queens,5345,4:32
FY 2014,All Fire/Emergency Incidents,New York City,503668,4:46
FY 2014,All Fire/Emergency Incidents,Manhattan,137908,4:58
FY 2014,All Fire/Emergency Incidents,Bronx,99362,5:01
FY 2014,All Fire/Emergency Incidents,Staten Island,25105,4:56
FY 2014,All Fire/Emergency Incidents,Brooklyn,142672,4:16
FY 2014,All Fire/Emergency Incidents,Queens,98621,4:55
FY 2014,False Alarm,New York City,19907,4:36
FY 2014,False Alarm,Manhattan,4495,4:55
FY 2014,False Alarm,Bronx,4747,4:46
