Number,Incident.Type,Creation.Date,Latitude,Longitude,Total.population,One.race.1,White,Black.or.African.American,American.Indian.and.Alaska.Native,Asian,Hispanic.or.Latino..of.any.race.,Median.household.income..dollars.,groupedtype,newBorough
1,Fire-3rd Alarm,42024.3367,40.78537397,-73.8400305,"8,622,698","8,329,402","3,635,789","2,094,132","35,124","1,252,589","2,517,429","60,879",Fir,NEW YORK CITY
2,Fire-4th Alarm,42026.57464,40.68739098,-73.78888866,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
3,Fire-2nd Alarm,42026.42755,40.6363723,-74.08221909,"479,458","470,053","351,632","51,411","1,019","45,761","89,066","79,201",Fir,STATEN ISLAND
4,Fire-3rd Alarm,42024.93674,40.75432148,-73.86796527,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
5,Law Enforcement-Device,42024.51682,40.7515289,-73.79069047,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Law,QUEENS
6,Fire-5th Alarm,42022.43351,40.67594641,-73.89536507,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
7,Fire-Other,42023.19111,40.834116,-73.948401,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
8,Fire-5th Alarm,42022.43351,40.67594641,-73.89536507,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Fir,BROOKLYN
9,Fire-2nd Alarm,42019.98973,40.70673504,-73.79397466,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
10,Fire-Other,42021.38065,40.74075,-73.8988425,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
11,Law Enforcement-Other,42020.45909,NA,NA,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
12,Fire-2nd Alarm,42019.29465,40.69043813,-73.82417556,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
13,Law Enforcement-Device,42019.69949,40.70682,-74.012472,"2,648,771","2,569,442","1,145,345","850,150","7,169","324,552","506,635","56,942",Law,BROOKLYN
14,Fire-2nd Alarm,42014.50941,NA,NA,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
15,Fire-2nd Alarm,42014.50941,NA,NA,"1,664,727","1,586,248","925,117","247,139","4,847","207,799","435,002","85,071",Fir,MANHATTAN
16,Fire-2nd Alarm,42014.60212,40.73219421,-74.00063692,"8,622,698","8,329,402","3,635,789","2,094,132","35,124","1,252,589","2,517,429","60,879",Fir,NEW YORK CITY
17,Law Enforcement-Suspicious Package,41976.60777,40.81646146,-73.8908144,1471160,1423239,328383,517433,12908,57247,826176,"37,397",Law,BRONX
18,Fire-2nd Alarm,42013.22992,40.71630442,-73.75810677,"2,358,582","2,280,420","885,312","427,999","9,181","617,230","660,550","64,509",Fir,QUEENS
